common_name,taxonomic_index,alphabetic_index,scientific_name,alpha_code,order,family,bioacoustic_category,description,high_or_low,bandpass_low_freq,bandpass_high_freq,typical_duration_ms,median_duration,approx_duration,oldbird_spectrogram,oldbird_nocturnal_spectrogram,oldbird_link,display_images,full_images,audio
Greater Yellowlegs,315,307,Tringa melanoleuca,GRYE,Charadriiformes,Scolopacidae,,,Low,0.1,6000.0,,0.053,0.1,,,,"['media/GRYE/spectrograms/SWGH-20160922_193000_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_38320.583_38320.583_display.jpg', 'media/GRYE/spectrograms/SWGH-20161002_191100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_624.736_624.736_display.jpg', 'media/GRYE/spectrograms/SWGH-20150510_205500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_663.872_663.947_display.jpg', 'media/GRYE/spectrograms/SWCG-20130917_194100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_15789.569_15789.616000000002_display.jpg', 'media/GRYE/spectrograms/SWGH-20130919_193600_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_33786.869_33786.955_display.jpg', 'media/GRYE/spectrograms/SWGH-20130819_203600_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_27311.007999999998_27311.088_display.jpg', 'media/GRYE/spectrograms/SWCG-20130919_193700_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_330.977_331.035_display.jpg', 'media/GRYE/spectrograms/SWWB_20160501_204300_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_7987.686_7987.686_display.jpg', 'media/GRYE/spectrograms/SWSG_20130920_193500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_38508.416_38508.448_display.jpg', 'media/GRYE/spectrograms/SWWB_20160831_201300_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_16644.327_16644.327_display.jpg', 'media/GRYE/spectrograms/SWGH-20160904_200500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_33891.968_33892.0_display.jpg', 'media/GRYE/spectrograms/SWGH-20130919_193600_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_26517.216_26517.269_display.jpg', 'media/GRYE/spectrograms/SWSG_20130918_193800_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_37888.773_37888.848_display.jpg', 'media/GRYE/spectrograms/SWCG-20130917_194100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_22871.237_22871.284_display.jpg', 'media/GRYE/spectrograms/SWWB_20160515_210200_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_28376.186_28376.186_display.jpg', 'media/GRYE/spectrograms/SWCG-20130917_194100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_25562.127999999997_25562.175_display.jpg', 'media/GRYE/spectrograms/SWCG-20130919_193700_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_33714.48_33714.515_display.jpg', 'media/GRYE/spectrograms/SWGH-20130919_193600_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_28074.432_28074.507_display.jpg', 'media/GRYE/spectrograms/SWGH-20160925_192400_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_38974.037000000004_38974.101_display.jpg', 'media/GRYE/spectrograms/SWGH-20150823_202900_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_709.184_709.227_display.jpg', 'media/GRYE/spectrograms/SWGH-20160823_202800_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_31799.029_31799.092999999997_display.jpg', 'media/GRYE/spectrograms/SWSG_20130919_193700_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_30544.468999999997_30544.512000000002_display.jpg', 'media/GRYE/spectrograms/SWGH-20131019_184100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_584.555_584.619_display.jpg', 'media/GRYE/spectrograms/SWGH-20130917_194000_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_25609.835_25609.877_display.jpg', 'media/GRYE/spectrograms/SWGH-20150822_203100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_437.06800000000004_437.124_display.jpg', 'media/GRYE/spectrograms/SWGH-20150910_195500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_7858.001_7858.001_display.jpg', 'media/GRYE/spectrograms/SWCG-20130910_195500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_36683.952000000005_36684.034_display.jpg', 'media/GRYE/spectrograms/SWSG_20130919_193700_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_33700.992_33701.024_display.jpg', 'media/GRYE/spectrograms/SWSG_20130919_193700_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_33720.395_33720.469_display.jpg', 'media/GRYE/spectrograms/SWGH-20150910_195500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_7827.804_7827.898_display.jpg']","['media/GRYE/spectrograms/SWGH-20160922_193000_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_38320.583_38320.583.jpg', 'media/GRYE/spectrograms/SWGH-20161002_191100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_624.736_624.736.jpg', 'media/GRYE/spectrograms/SWGH-20150510_205500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_663.872_663.947.jpg', 'media/GRYE/spectrograms/SWCG-20130917_194100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_15789.569_15789.616000000002.jpg', 'media/GRYE/spectrograms/SWGH-20130919_193600_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_33786.869_33786.955.jpg', 'media/GRYE/spectrograms/SWGH-20130819_203600_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_27311.007999999998_27311.088.jpg', 'media/GRYE/spectrograms/SWCG-20130919_193700_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_330.977_331.035.jpg', 'media/GRYE/spectrograms/SWWB_20160501_204300_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_7987.686_7987.686.jpg', 'media/GRYE/spectrograms/SWSG_20130920_193500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_38508.416_38508.448.jpg', 'media/GRYE/spectrograms/SWWB_20160831_201300_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_16644.327_16644.327.jpg', 'media/GRYE/spectrograms/SWGH-20160904_200500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_33891.968_33892.0.jpg', 'media/GRYE/spectrograms/SWGH-20130919_193600_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_26517.216_26517.269.jpg', 'media/GRYE/spectrograms/SWSG_20130918_193800_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_37888.773_37888.848.jpg', 'media/GRYE/spectrograms/SWCG-20130917_194100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_22871.237_22871.284.jpg', 'media/GRYE/spectrograms/SWWB_20160515_210200_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_28376.186_28376.186.jpg', 'media/GRYE/spectrograms/SWCG-20130917_194100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_25562.127999999997_25562.175.jpg', 'media/GRYE/spectrograms/SWCG-20130919_193700_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_33714.48_33714.515.jpg', 'media/GRYE/spectrograms/SWGH-20130919_193600_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_28074.432_28074.507.jpg', 'media/GRYE/spectrograms/SWGH-20160925_192400_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_38974.037000000004_38974.101.jpg', 'media/GRYE/spectrograms/SWGH-20150823_202900_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_709.184_709.227.jpg', 'media/GRYE/spectrograms/SWGH-20160823_202800_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_31799.029_31799.092999999997.jpg', 'media/GRYE/spectrograms/SWSG_20130919_193700_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_30544.468999999997_30544.512000000002.jpg', 'media/GRYE/spectrograms/SWGH-20131019_184100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_584.555_584.619.jpg', 'media/GRYE/spectrograms/SWGH-20130917_194000_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_25609.835_25609.877.jpg', 'media/GRYE/spectrograms/SWGH-20150822_203100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_437.06800000000004_437.124.jpg', 'media/GRYE/spectrograms/SWGH-20150910_195500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_7858.001_7858.001.jpg', 'media/GRYE/spectrograms/SWCG-20130910_195500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_36683.952000000005_36684.034.jpg', 'media/GRYE/spectrograms/SWSG_20130919_193700_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_33700.992_33701.024.jpg', 'media/GRYE/spectrograms/SWSG_20130919_193700_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_33720.395_33720.469.jpg', 'media/GRYE/spectrograms/SWGH-20150910_195500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_7827.804_7827.898.jpg']","['media/GRYE/audio/SWGH-20160922_193000_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_38320.583_38320.583.wav', 'media/GRYE/audio/SWGH-20161002_191100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_624.736_624.736.wav', 'media/GRYE/audio/SWGH-20150510_205500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_663.872_663.947.wav', 'media/GRYE/audio/SWCG-20130917_194100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_15789.569_15789.616000000002.wav', 'media/GRYE/audio/SWGH-20130919_193600_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_33786.869_33786.955.wav', 'media/GRYE/audio/SWGH-20130819_203600_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_27311.007999999998_27311.088.wav', 'media/GRYE/audio/SWCG-20130919_193700_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_330.977_331.035.wav', 'media/GRYE/audio/SWWB_20160501_204300_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_7987.686_7987.686.wav', 'media/GRYE/audio/SWSG_20130920_193500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_38508.416_38508.448.wav', 'media/GRYE/audio/SWWB_20160831_201300_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_16644.327_16644.327.wav', 'media/GRYE/audio/SWGH-20160904_200500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_33891.968_33892.0.wav', 'media/GRYE/audio/SWGH-20130919_193600_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_26517.216_26517.269.wav', 'media/GRYE/audio/SWSG_20130918_193800_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_37888.773_37888.848.wav', 'media/GRYE/audio/SWCG-20130917_194100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_22871.237_22871.284.wav', 'media/GRYE/audio/SWWB_20160515_210200_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_28376.186_28376.186.wav', 'media/GRYE/audio/SWCG-20130917_194100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_25562.127999999997_25562.175.wav', 'media/GRYE/audio/SWCG-20130919_193700_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_33714.48_33714.515.wav', 'media/GRYE/audio/SWGH-20130919_193600_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_28074.432_28074.507.wav', 'media/GRYE/audio/SWGH-20160925_192400_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_38974.037000000004_38974.101.wav', 'media/GRYE/audio/SWGH-20150823_202900_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_709.184_709.227.wav', 'media/GRYE/audio/SWGH-20160823_202800_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_31799.029_31799.092999999997.wav', 'media/GRYE/audio/SWSG_20130919_193700_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_30544.468999999997_30544.512000000002.wav', 'media/GRYE/audio/SWGH-20131019_184100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_584.555_584.619.wav', 'media/GRYE/audio/SWGH-20130917_194000_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_25609.835_25609.877.wav', 'media/GRYE/audio/SWGH-20150822_203100_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_437.06800000000004_437.124.wav', 'media/GRYE/audio/SWGH-20150910_195500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_7858.001_7858.001.wav', 'media/GRYE/audio/SWCG-20130910_195500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_36683.952000000005_36684.034.wav', 'media/GRYE/audio/SWSG_20130919_193700_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_33700.992_33701.024.wav', 'media/GRYE/audio/SWSG_20130919_193700_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_33720.395_33720.469.wav', 'media/GRYE/audio/SWGH-20150910_195500_CHARADRIIFORMES_SCOLOPACIDAE_TRINGA_MELANOLEUCA_GRYE_7827.804_7827.898.wav']"
Wood Sandpiper,317,713,Tringa glareola,WOSA,Charadriiformes,Scolopacidae,,,,,,,,,,,,,,
Wilson's Phalarope,319,706,Phalaropus tricolor,WIPH,Charadriiformes,Scolopacidae,,,,,,,,,,,,,,
Red-necked Phalarope,320,537,Phalaropus lobatus,RNPH,Charadriiformes,Scolopacidae,,,,,,,,,,,,,,
Red Phalarope,321,519,Phalaropus fulicarius,REPH,Charadriiformes,Scolopacidae,,,,,,,,,,,,,,
South Polar Skua,326,615,Stercorarius maccormicki,SPSK,Charadriiformes,Stercorariidae,,,,,,,,,,,,,,
Pomarine Jaeger,327,502,Stercorarius pomarinus,POJA,Charadriiformes,Stercorariidae,,,,,,,,,,,,,,
Parasitic Jaeger,328,485,Stercorarius parasiticus,PAJA,Charadriiformes,Stercorariidae,,,,,,,,,,,,,,
Long-tailed Jaeger,329,404,Stercorarius longicaudus,LTJA,Charadriiformes,Stercorariidae,,,,,,,,,,,,,,
Dovekie,331,226,Alle alle,DOVE,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Common Murre,332,203,Uria aalge,COMU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Thick-billed Murre,333,639,Uria lomvia,TBMU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Razorbill,334,514,Alca torda,RAZO,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Black Guillemot,336,65,Cepphus grylle,BLGU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Pigeon Guillemot,337,492,Cepphus columba,PIGU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Marbled Murrelet,339,415,Brachyramphus marmoratus,MAMU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Kittlitz's Murrelet,340,369,Brachyramphus brevirostris,KIMU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Scripps's Murrelet,341,590,Synthliboramphus scrippsi,SCMU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Ancient Murrelet,344,30,Synthliboramphus antiquus,ANMU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Cassin's Auklet,345,169,Ptychoramphus aleuticus,CAAU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Parakeet Auklet,346,484,Aethia psittacula,PAAU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Least Auklet,347,381,Aethia pusilla,LEAU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Whiskered Auklet,348,677,Aethia pygmaea,WHAU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Crested Auklet,349,219,Aethia cristatella,CRAU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Rhinoceros Auklet,350,547,Cerorhinca monocerata,RHAU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Atlantic Puffin,351,41,Fratercula arctica,ATPU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Horned Puffin,352,345,Fratercula corniculata,HOPU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Tufted Puffin,353,647,Fratercula cirrhata,TUPU,Charadriiformes,Alcidae,,,,,,,,,,,,,,
Black-legged Kittiwake,356,94,Rissa tridactyla,BLKI,Charadriiformes,Laridae,,,,,,,,,,,,,,
Red-legged Kittiwake,357,534,Rissa brevirostris,RLKI,Charadriiformes,Laridae,,,,,,,,,,,,,,
Sabine's Gull,359,575,Xema sabini,SAGU,Charadriiformes,Laridae,,,,,,,,,,,,,,
Bonaparte's Gull,360,116,Chroicocephalus philadelphia,BOGU,Charadriiformes,Laridae,,,,,,,,,,,,,,
Black-headed Gull,362,93,Chroicocephalus ridibundus,BHGU,Charadriiformes,Laridae,,,,,,,,,,,,,,
Little Gull,363,397,Hydrocoloeus minutus,LIGU,Charadriiformes,Laridae,,,,,,,,,,,,,,
Laughing Gull,365,374,Leucophaeus atricilla,LAGU,Charadriiformes,Laridae,,,,,,,,,,,,,,
Franklin's Gull,366,262,Leucophaeus pipixcan,FRGU,Charadriiformes,Laridae,,,,,,,,,,,,,,
Heermann's Gull,370,332,Larus heermanni,HEEG,Charadriiformes,Laridae,,,,,,,,,,,,,,
Short-billed Gull,372,598,Larus brachyrhynchus,SBIG,Charadriiformes,Laridae,,,,,,,,,,,,,,
Ring-billed Gull,373,549,Larus delawarensis,RBGU,Charadriiformes,Laridae,,,Low,0.0,5000.0,,0.235,0.25,,,,['media/RBGU/spectrograms/A2PS1_20140418_203900_CHARADRIIFORMES_LARIDAE_LARUS_DELAWARENSIS_RBGU_18933.359_18933.593999999997_display.jpg'],['media/RBGU/spectrograms/A2PS1_20140418_203900_CHARADRIIFORMES_LARIDAE_LARUS_DELAWARENSIS_RBGU_18933.359_18933.593999999997.jpg'],['media/RBGU/audio/A2PS1_20140418_203900_CHARADRIIFORMES_LARIDAE_LARUS_DELAWARENSIS_RBGU_18933.359_18933.593999999997.wav']
Western Gull,374,669,Larus occidentalis,WEGU,Charadriiformes,Laridae,,,,,,,,,,,,,,
Yellow-footed Gull,375,731,Larus livens,YFGU,Charadriiformes,Laridae,,,,,,,,,,,,,,
California Gull,376,152,Larus californicus,CAGU,Charadriiformes,Laridae,,,,,,,,,,,,,,
Herring Gull,377,337,Larus argentatus,HERG,Charadriiformes,Laridae,,,,,,,,,,,,,,
Iceland Gull,379,352,Larus glaucoides,ICGU,Charadriiformes,Laridae,,,,,,,,,,,,,,
Lesser Black-backed Gull,380,387,Larus fuscus,LBBG,Charadriiformes,Laridae,,,,,,,,,,,,,,
Glaucous-winged Gull,382,269,Larus glaucescens,GWGU,Charadriiformes,Laridae,,,,,,,,,,,,,,
Glaucous Gull,383,268,Larus hyperboreus,GLGU,Charadriiformes,Laridae,,,,,,,,,,,,,,
Great Black-backed Gull,384,289,Larus marinus,GBBG,Charadriiformes,Laridae,,,,,,,,,,,,,,
Brown Noddy,386,133,Anous stolidus,BRNO,Charadriiformes,Laridae,,,,,,,,,,,,,,
Black Noddy,387,66,Anous minutus,BLNO,Charadriiformes,Laridae,,,,,,,,,,,,,,
White Tern,389,680,Gygis alba,WHTT,Charadriiformes,Laridae,,,,,,,,,,,,,,
Sooty Tern,390,613,Onychoprion fuscatus,SOTE,Charadriiformes,Laridae,,,,,,,,,,,,,,
Gray-backed Tern,391,286,Onychoprion lunatus,GBAT,Charadriiformes,Laridae,,,,,,,,,,,,,,
Bridled Tern,392,124,Onychoprion anaethetus,BRTE,Charadriiformes,Laridae,,,,,,,,,,,,,,
Aleutian Tern,393,9,Onychoprion aleuticus,ALTE,Charadriiformes,Laridae,,,,,,,,,,,,,,
Least Tern,395,386,Sternula antillarum,LETE,Charadriiformes,Laridae,,,,,,,,,,,,,,
Gull-billed Tern,397,315,Gelochelidon nilotica,GBTE,Charadriiformes,Laridae,,,,,,,,,,,,,,
Caspian Tern,398,167,Hydroprogne caspia,CATE,Charadriiformes,Laridae,,,,,,,,,,,,,,
Black Tern,400,75,Chlidonias niger,BLTE,Charadriiformes,Laridae,,,,,,,,,,,,,,
Roseate Tern,403,561,Sterna dougallii,ROST,Charadriiformes,Laridae,,,,,,,,,,,,,,
